"h","target_date","forecast_0.01","forecast_0.025","forecast_0.05","forecast_0.1","forecast_0.15","forecast_0.2","forecast_0.25","forecast_0.3","forecast_0.35","forecast_0.4","forecast_0.45","forecast_0.5","forecast_0.55","forecast_0.6","forecast_0.65","forecast_0.7","forecast_0.75","forecast_0.8","forecast_0.85","forecast_0.9","forecast_0.95","forecast_0.975","forecast_0.99"
1,"2020-06-13",4192.586,4386.786,4592.841,4819.627,4974.224,5124.842,5248.872,5358.66,5472.227,5565.828,5654.5,5773.726,5880.154,6010.892,6137.567,6256.264,6379.734,6510.538,6682.964,6901.637,7219.749,7564.238,7876.356
2,"2020-06-20",3717.986,3893.135,4125.764,4380.738,4570.167,4730.929,4863.553,4994.23,5116.02,5255.832,5368.395,5504.412,5618.759,5756.053,5884.392,6033.13,6215.612,6390.15,6610.4,6882.833,7283.32,7693.32,8095.933
3,"2020-06-27",3234.789,3437.399,3666.111,3925.982,4157.407,4318.888,4462.15,4643.284,4804.344,4934.808,5081.569,5263.045,5400.559,5580.888,5746.333,5946.276,6140.285,6416.895,6671.974,7004.987,7504.317,7957.273,8472.924
4,"2020-07-04",2958.7,3151.453,3378.395,3632.215,3858.404,4079.62,4246.639,4442.721,4634.655,4783.544,4978.59,5169.654,5386.149,5565.924,5770.706,6027.754,6276.596,6610.183,6931.294,7304.974,7926.817,8526.878,9234.056
1,"2020-06-20",3552.443,3702.652,3904.707,4109.554,4256.332,4365.428,4467.726,4561.046,4651.148,4735.769,4815.083,4890.468,4984.828,5058.338,5139.079,5257.636,5382.494,5483.795,5643.787,5814.741,6054.048,6302.482,6509.418
2,"2020-06-27",3143.271,3340.465,3552.218,3801.158,3976.372,4102.685,4226.584,4337.783,4449.41,4564.762,4675.989,4784.259,4905.479,5033.092,5138.515,5282.607,5410.217,5567.255,5761.062,6048.369,6355.891,6665.632,6986.693
3,"2020-07-04",2774.284,2952.694,3180.379,3459.011,3621.137,3771.326,3901.783,4015.298,4133.064,4247.806,4379.015,4502.032,4634.762,4769.04,4934.378,5124.802,5320.581,5519.373,5767.522,6110.041,6559.469,6958.686,7392.94
4,"2020-07-11",2548.856,2721.472,2935.917,3178.79,3374.14,3561.555,3700.341,3874.576,3998.069,4125.476,4276.519,4415.331,4612.46,4754.787,4930.837,5121.109,5355.751,5627.126,5974.594,6331.509,6918.065,7473.865,8185.739
4,"2020-07-18",1892.473,2020.397,2206.78,2465.521,2673.778,2838.889,2982.429,3132.31,3269.887,3389.148,3531.363,3687.153,3834.841,3996.907,4149.323,4336.442,4547.934,4841.635,5115.881,5478.399,6120.719,6736.221,7545.989
3,"2020-07-11",2181.74,2342.482,2510.724,2730.32,2904.456,3084.226,3214.456,3339.424,3469.107,3602.572,3721.485,3843.471,3973.976,4111.905,4245.996,4388.793,4551.283,4758.629,4968.356,5266.693,5786.144,6163.428,6703.174
